#chan	code	gain	vt50	innse	comment
   0	     0	76.4	108.9	 601	OK
   1	     0	72.1	104.6	 622	OK
   2	     0	73.1	105.6	 617	OK
   3	     0	73.6	105.8	 618	OK
   4	     0	72.0	103.3	 636	OK
   5	     0	72.2	106.8	 615	OK
   6	     0	75.2	107.8	 615	OK
   7	     0	71.9	102.0	 611	OK
   8	     0	70.9	102.4	 628	OK
   9	     0	72.0	104.3	 636	OK
  10	     0	71.4	103.7	 626	OK
  11	     0	72.8	104.2	 640	OK
  12	     0	73.1	105.1	 624	OK
  13	     0	70.9	103.3	 651	OK
  14	     0	71.1	103.2	 657	OK
  15	     0	71.3	104.0	 663	OK
  16	     0	72.6	106.0	 658	OK
  17	     0	73.4	104.2	 657	OK
  18	     0	72.3	103.2	 653	OK
  19	     0	74.3	106.7	 668	OK
  20	     0	69.9	101.3	 655	OK
  21	     0	70.1	99.8	 660	OK
  22	     0	73.0	104.2	 662	OK
  23	     0	70.9	102.3	 666	OK
  24	     0	71.9	102.3	 655	OK
  25	     0	73.4	105.0	 657	OK
  26	     0	74.4	105.4	 674	OK
  27	     0	73.7	105.8	 664	OK
  28	     0	72.6	105.7	 670	OK
  29	     0	75.1	106.8	 665	OK
  30	     0	73.0	106.0	 666	OK
  31	     0	71.5	101.7	 663	OK
  32	     0	70.8	102.9	 667	OK
  33	     0	73.9	106.6	 659	OK
  34	     0	71.5	102.2	 675	OK
  35	     0	73.5	106.1	 672	OK
  36	     0	70.2	103.8	 659	OK
  37	     0	73.6	103.8	 661	OK
  38	     0	73.0	105.8	 674	OK
  39	     0	73.8	104.5	 675	OK
  40	     0	71.0	102.4	 679	OK
  41	     0	70.1	101.8	 665	OK
  42	     0	72.5	105.3	 677	OK
  43	     0	72.8	105.0	 651	OK
  44	     0	73.2	108.2	 674	OK
  45	     0	73.7	105.5	 661	OK
  46	     0	69.0	99.6	 662	OK
  47	     0	69.1	101.9	 671	OK
  48	     0	72.2	105.3	 665	OK
  49	     0	72.5	105.7	 668	OK
  50	     0	75.0	106.3	 672	OK
  51	     0	74.2	105.4	 673	OK
  52	     0	72.1	102.7	 675	OK
  53	     0	74.0	108.1	 664	OK
  54	     0	74.7	106.9	 674	OK
  55	     0	70.8	103.7	 681	OK
