#chan	code	gain	vt50	innse	comment
   0	     0	81.4	151.7	 627	OK
   1	     0	80.3	149.9	 640	OK
   2	     0	78.4	147.6	 650	OK
   3	     0	77.1	143.5	 645	OK
   4	     0	78.2	146.4	 652	OK
   5	     0	79.0	148.4	 653	OK
   6	     0	78.0	147.3	 642	OK
   7	     0	79.2	148.2	 636	OK
   8	     0	76.6	144.3	 632	OK
   9	     0	81.1	151.2	 656	OK
  10	     0	74.5	139.1	 651	OK
  11	     0	76.4	144.6	 657	OK
  12	     0	78.3	149.4	 654	OK
  13	     0	76.1	142.7	 645	OK
  14	     0	76.3	144.4	 658	OK
  15	     0	77.4	146.0	 671	OK
  16	     0	75.3	142.1	 654	OK
  17	     0	78.4	148.2	 662	OK
  18	     0	74.7	139.6	 674	OK
  19	     0	78.5	147.2	 652	OK
  20	     0	74.2	139.0	 654	OK
  21	     0	76.1	143.3	 665	OK
  22	     0	74.7	142.0	 655	OK
  23	     0	77.2	145.6	 663	OK
  24	     0	77.2	146.6	 675	OK
  25	     0	78.9	147.8	 685	OK
  26	     0	74.2	140.2	 676	OK
  27	     0	76.2	143.9	 667	OK
  28	     0	78.4	148.3	 671	OK
  29	     0	77.3	144.0	 666	OK
  30	     0	75.8	144.3	 684	OK
  31	     0	78.4	147.5	 683	OK
  32	     0	78.9	148.5	 683	OK
  33	     0	77.2	143.8	 686	OK
  34	     0	76.5	144.2	 665	OK
  35	     0	76.6	143.8	 674	OK
  36	     0	75.8	142.5	 668	OK
  37	     0	77.9	144.5	 662	OK
  38	     0	77.1	144.0	 670	OK
  39	     0	77.5	145.6	 674	OK
  40	     0	76.0	141.8	 694	OK
  41	     0	77.2	147.5	 666	OK
  42	     0	75.8	142.4	 669	OK
  43	     0	77.0	145.3	 683	OK
  44	     0	78.7	147.7	 685	OK
  45	     0	76.8	144.7	 669	OK
  46	     0	78.1	147.3	 667	OK
  47	     0	77.0	146.1	 690	OK
  48	     0	75.6	141.9	 676	OK
  49	     0	76.8	145.5	 703	OK
  50	     0	76.7	143.3	 682	OK
  51	     0	78.6	147.6	 698	OK
  52	     0	75.5	143.0	 681	OK
  53	     0	77.5	146.2	 707	OK
  54	     0	76.6	147.2	 685	OK
  55	     0	77.5	145.6	 696	OK
  56	     0	76.4	145.9	 670	OK
  57	     0	76.2	146.3	 687	OK
  58	     0	76.7	145.5	 690	OK
  59	     0	75.8	144.5	 694	OK
  60	     0	78.3	147.2	 702	OK
  61	     0	78.0	146.1	 688	OK
  62	     0	79.9	152.3	 689	OK
  63	     0	78.0	147.3	 665	OK
  64	     0	79.3	150.2	 672	OK
  65	     0	79.6	149.3	 685	OK
  66	     0	76.1	144.7	 679	OK
  67	     0	77.8	147.5	 657	OK
  68	     0	77.9	148.0	 684	OK
  69	     0	78.3	147.7	 677	OK
  70	     0	76.5	143.2	 679	OK
  71	     0	76.8	144.3	 693	OK
  72	     0	76.5	145.9	 680	OK
  73	     0	77.8	145.0	 680	OK
  74	     0	76.5	143.2	 670	OK
  75	     0	77.2	146.2	 705	OK
  76	     0	77.5	148.3	 677	OK
  77	     0	77.6	146.6	 679	OK
  78	     0	74.7	140.6	 681	OK
  79	     0	75.1	141.2	 687	OK
  80	     0	79.4	148.4	 679	OK
  81	     0	75.3	143.3	 677	OK
  82	     0	76.5	142.9	 681	OK
  83	     0	76.5	143.3	 697	OK
  84	     0	78.8	148.3	 674	OK
  85	     0	78.1	148.4	 672	OK
  86	     0	77.3	145.5	 679	OK
  87	     0	76.0	142.8	 688	OK
  88	     0	76.8	143.6	 685	OK
  89	     0	78.5	146.2	 666	OK
  90	     0	76.6	143.8	 684	OK
  91	     0	76.5	143.3	 675	OK
  92	     0	74.8	142.4	 691	OK
  93	     0	77.0	146.4	 689	OK
  94	     0	76.5	145.1	 665	OK
  95	     0	77.7	146.1	 672	OK
  96	     0	74.7	139.9	 679	OK
  97	     0	74.7	141.8	 661	OK
  98	     0	75.7	143.4	 670	OK
  99	     0	78.4	146.8	 687	OK
 100	     0	76.3	144.4	 686	OK
 101	     0	78.1	147.8	 664	OK
 102	     0	78.0	145.9	 678	OK
 103	     0	78.2	146.6	 689	OK
 104	     0	76.2	143.6	 672	OK
 105	     0	78.7	146.1	 675	OK
 106	     0	74.7	140.3	 655	OK
 107	     0	77.7	145.4	 676	OK
 108	     0	78.4	146.6	 649	OK
 109	     0	79.2	148.2	 660	OK
 110	     0	79.7	148.2	 694	OK
 111	     0	77.1	145.7	 673	OK
 112	     0	77.5	147.9	 661	OK
 113	     0	78.9	147.2	 674	OK
 114	     0	79.7	148.7	 674	OK
 115	     0	78.9	148.5	 663	OK
 116	     0	76.1	144.9	 674	OK
 117	     0	76.3	145.7	 669	OK
 118	     0	79.5	149.4	 671	OK
 119	     0	77.8	145.9	 670	OK
 120	     0	78.2	147.2	 661	OK
 121	     0	76.6	143.9	 677	OK
 122	     0	76.2	143.8	 662	OK
 123	     0	80.4	150.5	 665	OK
 124	     0	79.1	149.3	 686	OK
 125	     0	78.6	147.4	 657	OK
 126	     0	77.3	143.5	 679	OK
 127	     0	81.0	151.5	 667	OK
 128	     0	74.1	139.9	 682	OK
 129	     0	76.0	142.0	 698	OK
 130	     0	74.5	138.6	 708	OK
 131	     0	74.7	139.2	 700	OK
 132	     0	76.1	143.7	 693	OK
 133	     0	73.3	139.1	 685	OK
 134	     0	71.6	135.9	 679	OK
 135	     0	71.8	136.9	 702	OK
 136	     0	71.7	135.6	 688	OK
 137	     0	74.1	139.1	 696	OK
 138	     0	73.5	137.9	 666	OK
 139	     0	72.5	136.8	 678	OK
 140	     0	73.6	139.3	 698	OK
 141	     0	71.4	134.6	 702	OK
 142	     0	71.7	135.5	 673	OK
 143	     0	72.7	137.6	 672	OK
 144	     0	72.9	136.9	 674	OK
 145	     0	71.7	135.5	 683	OK
 146	     0	72.5	138.2	 688	OK
 147	     0	71.8	137.2	 698	OK
 148	     0	72.1	136.3	 675	OK
 149	     0	70.2	131.8	 684	OK
 150	     0	69.9	131.8	 703	OK
 151	     0	72.9	137.4	 675	OK
 152	     0	70.7	133.5	 700	OK
 153	     0	71.6	135.8	 689	OK
 154	     0	73.0	138.1	 698	OK
 155	     0	71.1	135.3	 682	OK
 156	     0	69.8	131.8	 679	OK
 157	     0	70.5	132.4	 685	OK
 158	     0	69.0	131.8	 667	OK
 159	     0	71.5	135.1	 710	OK
 160	     0	70.9	136.2	 714	OK
 161	     0	70.4	135.0	 691	OK
