#chan	code	gain	vt50	innse	comment
   0	     4	80.9	144.4	1554	inefficient
   1	     4	73.6	129.7	1840	inefficient
   2	     4	73.7	116.7	2558	inefficient
   3	     4	74.5	127.2	2308	inefficient
   4	     4	74.0	133.6	2013	inefficient
   5	     4	74.2	132.5	1927	inefficient
   6	     4	75.8	132.8	1945	inefficient
   7	     4	72.4	116.0	2486	inefficient
   8	     4	72.9	131.9	1793	inefficient
   9	     4	74.5	135.1	1694	inefficient
  10	     4	72.0	117.5	2383	inefficient
  11	     4	74.4	127.5	1951	inefficient
  12	     4	74.5	132.1	1770	inefficient
  13	     4	72.5	129.7	1822	inefficient
  14	     4	73.3	133.8	1691	inefficient
  15	     4	73.2	131.4	1731	inefficient
  16	     4	74.2	124.2	2115	inefficient
  17	     4	74.3	122.7	2115	inefficient
  18	     4	73.9	127.3	1981	inefficient
  19	     4	76.6	138.9	1599	inefficient
  20	     4	71.5	125.9	1923	inefficient
  21	     4	72.0	128.0	1793	inefficient
  22	     4	74.9	135.4	1641	inefficient
  23	     4	73.9	133.3	1622	inefficient
  24	     4	72.4	115.7	2396	inefficient
  25	     4	75.0	132.9	1721	inefficient
  26	     4	75.9	129.2	1823	inefficient
  27	     4	76.2	138.3	1587	inefficient
  28	     4	72.1	108.3	2656	inefficient
  29	     4	75.7	123.2	2143	inefficient
  30	     4	75.0	128.8	1918	inefficient
  31	     4	72.6	121.7	2163	inefficient
  32	     4	72.4	128.7	1858	inefficient
  33	     4	75.2	131.1	1755	inefficient
  34	     4	73.4	126.3	2008	inefficient
  35	     4	75.8	137.6	1600	inefficient
  36	     4	70.8	113.6	2467	inefficient
  37	     4	76.7	145.2	1557	inefficient
  38	     4	74.5	130.0	1822	inefficient
  39	     4	76.2	136.2	1657	inefficient
  40	     4	72.0	121.9	2267	inefficient
  41	     4	72.8	131.8	1725	inefficient
  42	     4	74.5	132.3	1748	inefficient
  43	     4	74.3	123.4	2143	inefficient
  44	     4	74.0	121.0	2265	inefficient
  45	     4	75.2	129.3	1824	inefficient
  46	     4	70.2	119.3	2251	inefficient
  47	     4	71.5	131.1	1752	inefficient
  48	     4	72.7	117.1	2346	inefficient
  49	     4	73.9	129.8	1829	inefficient
  50	     4	77.5	138.7	1629	inefficient
  51	     4	76.6	136.9	1641	inefficient
  52	     4	73.8	124.9	2030	inefficient
  53	     4	76.0	130.4	1803	inefficient
  54	     4	77.2	142.4	1555	inefficient
  55	     4	73.2	134.4	1668	inefficient
  56	     4	75.6	130.9	1788	inefficient
  57	     4	74.8	131.4	1742	inefficient
  58	     4	75.2	132.4	1770	inefficient
  59	     4	77.3	140.1	1615	inefficient
  60	     4	75.0	136.5	1660	inefficient
  61	     4	76.4	136.1	1636	inefficient
  62	     0	77.1	148.1	1505	OK
  63	     4	74.5	133.2	1716	inefficient
  64	     4	73.4	128.2	1876	inefficient
  65	     4	74.9	127.3	1924	inefficient
  66	     4	74.9	126.7	1932	inefficient
  67	     4	76.0	132.0	1748	inefficient
  68	     4	75.8	138.0	1593	inefficient
  69	     4	72.2	125.1	1965	inefficient
  70	     4	74.2	131.9	1746	inefficient
  71	     4	73.5	132.1	1687	inefficient
  72	     4	74.2	133.4	1652	inefficient
  73	     4	77.2	141.7	1591	inefficient
  74	     4	71.4	121.8	2092	inefficient
  75	     4	76.1	130.2	1838	inefficient
  76	     4	77.0	136.2	1643	inefficient
  77	     4	74.1	129.5	1847	inefficient
  78	     4	77.3	140.0	1589	inefficient
  79	     4	75.6	134.5	1700	inefficient
  80	     4	74.5	137.9	1612	inefficient
  81	     4	78.1	141.0	1573	inefficient
  82	     4	75.2	131.5	1712	inefficient
  83	     4	74.7	118.8	2295	inefficient
  84	     4	75.9	130.3	1828	inefficient
  85	     4	75.6	129.9	1841	inefficient
  86	     4	75.9	126.6	2052	inefficient
  87	     4	74.5	132.8	1733	inefficient
  88	     4	76.0	140.2	1587	inefficient
  89	     4	78.1	143.4	1545	inefficient
  90	     4	72.9	114.6	2485	inefficient
  91	     4	74.5	136.7	1646	inefficient
  92	     4	73.3	136.6	1598	inefficient
  93	     4	72.4	128.9	1776	inefficient
  94	     4	73.4	127.3	1858	inefficient
  95	     4	76.9	138.7	1583	inefficient
  96	     4	75.2	134.2	1672	inefficient
  97	     0	78.3	149.3	1482	OK
  98	     4	74.1	132.5	1681	inefficient
  99	     4	74.2	134.4	1627	inefficient
 100	     4	71.5	116.1	2354	inefficient
 101	     4	76.9	132.9	1727	inefficient
 102	     4	75.8	138.5	1621	inefficient
 103	     4	73.3	133.7	1625	inefficient
 104	     4	72.9	121.0	2206	inefficient
 105	     4	75.8	140.4	1591	inefficient
 106	     4	74.8	130.4	1747	inefficient
 107	     4	74.0	122.6	2090	inefficient
 108	     4	75.4	133.2	1667	inefficient
 109	     4	75.8	129.3	1858	inefficient
 110	     4	74.5	122.2	2185	inefficient
 111	     4	76.1	122.2	2195	inefficient
 112	     4	73.5	116.5	2388	inefficient
 113	     4	74.0	131.4	1722	inefficient
 114	     4	74.0	123.8	2096	inefficient
 115	     4	75.1	137.7	1588	inefficient
 116	     4	75.6	135.5	1647	inefficient
 117	     4	76.0	132.8	1688	inefficient
 118	     4	73.0	123.0	2130	inefficient
 119	     4	72.2	108.3	2725	inefficient
 120	     4	75.6	133.2	1719	inefficient
 121	     4	75.8	132.9	1679	inefficient
 122	     4	76.5	137.5	1608	inefficient
 123	     4	72.6	106.5	2609	inefficient
 124	     4	74.0	131.9	1663	inefficient
 125	     4	77.0	139.8	1582	inefficient
 126	     4	75.1	105.9	2659	inefficient
 127	     4	74.4	124.3	2028	inefficient
 128	     4	75.5	131.7	1700	inefficient
 129	     4	79.8	141.2	1572	inefficient
 130	     4	76.7	119.2	2239	inefficient
 131	     4	76.8	134.4	1676	inefficient
 132	     4	74.5	130.0	1764	inefficient
 133	     4	77.6	128.6	1917	inefficient
