#chan	code	gain	vt50	innse	comment
   0	     0	79.3	110.6	 650	OK
   1	     0	78.4	108.4	 658	OK
   2	     0	76.7	106.9	 667	OK
   3	     0	74.6	106.7	 654	OK
   4	     0	76.2	108.0	 666	OK
   5	     0	77.2	108.1	 659	OK
   6	     0	76.2	107.5	 658	OK
   7	     0	77.7	107.0	 654	OK
   8	     0	74.1	105.2	 663	OK
   9	     0	79.1	111.9	 644	OK
  10	     0	72.4	104.4	 665	OK
  11	     0	73.9	106.3	 669	OK
  12	     0	76.5	109.6	 667	OK
  13	     0	74.0	106.9	 665	OK
  14	     0	74.0	107.7	 659	OK
  15	     0	75.2	107.0	 663	OK
  16	     0	72.3	103.9	 666	OK
  17	     0	76.6	108.0	 658	OK
  18	     0	71.9	103.5	 680	OK
  19	     0	76.2	107.8	 660	OK
  20	     0	71.9	101.5	 691	OK
  21	     0	73.7	104.6	 677	OK
  22	     0	72.7	104.1	 673	OK
  23	     0	75.3	106.6	 667	OK
  24	     0	74.6	107.0	 676	OK
  25	     0	77.1	109.8	 684	OK
  26	     0	71.4	102.9	 696	OK
  27	     0	74.0	107.0	 689	OK
  28	     0	76.6	108.4	 678	OK
  29	     0	74.6	104.8	 684	OK
  30	     0	73.9	103.6	 692	OK
  31	     0	76.3	104.9	 672	OK
  32	     0	77.1	107.9	 665	OK
  33	     0	74.7	107.1	 691	OK
  34	     0	74.2	104.8	 669	OK
  35	     0	74.3	104.1	 671	OK
  36	     0	73.7	103.6	 667	OK
  37	     0	75.9	105.2	 676	OK
  38	     0	74.2	104.1	 700	OK
  39	     0	75.1	104.9	 694	OK
  40	     0	73.7	103.6	 697	OK
  41	     0	74.9	105.1	 694	OK
  42	     0	73.5	106.7	 694	OK
  43	     0	74.9	105.2	 690	OK
  44	     0	76.6	107.4	 690	OK
  45	     0	74.1	104.5	 701	OK
  46	     0	76.3	107.6	 694	OK
  47	     0	74.8	106.7	 708	OK
  48	     0	74.0	103.0	 699	OK
  49	     0	74.4	106.1	 686	OK
  50	     0	74.1	106.2	 712	OK
  51	     0	76.2	108.5	 684	OK
  52	     0	73.0	104.3	 711	OK
  53	     0	75.3	106.6	 706	OK
  54	     0	74.6	105.3	 704	OK
  55	     0	75.1	106.7	 690	OK
