#chan	code	gain	vt50	innse	comment
   0	     0	76.3	107.1	 605	OK
   1	     0	71.6	102.9	 617	OK
   2	     0	72.8	103.2	 630	OK
   3	     0	73.2	104.0	 622	OK
   4	     0	71.4	102.9	 599	OK
   5	     0	71.8	103.9	 644	OK
   6	     0	74.7	108.8	 643	OK
   7	     0	71.1	104.4	 643	OK
   8	     0	70.6	103.3	 632	OK
   9	     0	72.0	102.6	 635	OK
  10	     0	71.0	104.0	 646	OK
  11	     0	72.5	105.0	 649	OK
  12	     0	72.9	105.5	 645	OK
  13	     0	70.4	101.9	 661	OK
  14	     0	70.8	102.8	 665	OK
  15	     0	70.8	102.1	 672	OK
  16	     0	72.7	104.4	 674	OK
  17	     0	72.8	106.5	 671	OK
  18	     0	72.7	104.0	 675	OK
  19	     0	74.8	104.6	 657	OK
  20	     0	69.1	100.3	 673	OK
  21	     0	70.0	101.9	 670	OK
  22	     0	72.6	104.2	 669	OK
  23	     0	71.4	101.3	 685	OK
  24	     0	72.6	103.3	 665	OK
  25	     0	72.3	105.9	 693	OK
  26	     0	73.9	103.8	 672	OK
  27	     0	73.4	106.8	 671	OK
  28	     0	71.7	103.2	 688	OK
  29	     0	75.0	107.8	 671	OK
  30	     0	72.7	103.7	 666	OK
  31	     0	70.7	101.7	 667	OK
  32	     0	70.8	103.4	 670	OK
  33	     0	73.3	105.4	 676	OK
  34	     0	71.5	103.6	 682	OK
  35	     0	73.1	105.8	 681	OK
  36	     0	69.5	102.3	 702	OK
  37	     0	73.1	104.4	 679	OK
  38	     0	72.7	104.0	 674	OK
  39	     0	73.6	102.6	 688	OK
  40	     0	69.9	103.5	 693	OK
  41	     0	70.1	100.2	 680	OK
  42	     0	72.1	105.5	 676	OK
  43	     0	72.2	105.5	 697	OK
  44	     0	72.5	106.3	 691	OK
  45	     0	73.3	103.1	 682	OK
  46	     0	68.8	101.1	 701	OK
  47	     0	69.6	101.0	 677	OK
  48	     0	71.5	103.4	 710	OK
  49	     0	72.4	104.1	 682	OK
  50	     0	74.9	106.9	 679	OK
  51	     0	73.7	103.5	 682	OK
  52	     0	71.9	103.4	 697	OK
  53	     0	74.1	107.0	 680	OK
  54	     0	74.3	108.4	 695	OK
  55	     0	70.5	101.9	 684	OK
  56	     0	73.6	106.0	 690	OK
  57	     0	73.0	104.9	 689	OK
  58	     0	72.9	102.6	 689	OK
  59	     0	74.5	104.5	 704	OK
  60	     0	73.2	104.0	 703	OK
  61	     0	74.8	105.3	 668	OK
  62	     0	73.8	107.2	 695	OK
  63	     0	71.5	104.3	 682	OK
  64	     0	71.5	103.0	 673	OK
  65	     0	73.4	105.9	 650	OK
  66	     0	73.3	103.8	 681	OK
  67	     0	73.9	105.9	 677	OK
  68	     0	73.2	103.9	 693	OK
  69	     0	70.2	104.1	 684	OK
  70	     0	72.5	102.9	 662	OK
  71	     0	70.9	100.9	 674	OK
